,steam_pressure,drift
254,68.65129089,0
255,68.6730423,0
256,68.67883301,0
257,68.63265991,0
258,68.64711761,0
259,68.64833832,0
260,68.69922638,0
261,68.64837646,0
262,68.62447357,0
263,68.64992523,0
264,68.66540527,0
265,68.65686035,0
266,68.65784454,0
267,68.61109161,0
268,68.64437103,0
269,68.63954163,0
270,68.67668152,0
271,68.6414032,0
272,68.63739014,0
273,68.6463089,0
274,69.340007629,1
275,69.68528064365,1
276,69.97984267799998,1
277,70.35452918649999,1
278,70.72010238739998,1
279,68.64512634,0
280,68.62406921,0
281,68.59626007,0
282,68.7117691,0
283,68.67990112,0
284,68.66899109,0
285,68.6856308,0
286,68.6879425,0
287,68.64671326,0
288,68.67735291,0
289,68.64638519,0
290,68.66474915,0
291,68.61193085,0
292,68.64351654,0
293,68.65309906,0
294,68.66870117,0
295,68.57868195,0
296,68.62941742,0
297,68.69687653,0
298,68.63776398,0
299,68.66195679,0
300,68.64453125,0
301,68.62214661,0
302,68.65816498,0
303,68.60752869,0
304,68.6780014,0
305,68.65023041,0
306,68.69499207,0
307,68.64174652,0
308,68.62771606,0
309,68.64838409,0
310,68.6917038,0
311,68.65007782,0
312,68.6332016,0
313,68.64373016,0
314,68.70066833,0
315,68.6464386,0
316,68.67477417,0
317,68.63764191,0
318,68.727211,0
319,68.6116333,0
320,68.66183472,0
321,68.62993622,0
322,68.6301651,0
323,68.65391541,0
324,68.60903168,0
325,68.65163422,0
326,68.66494751,0
327,68.6388092,0
328,68.63648987,0
329,68.61103821,0
330,68.61378479,0
331,68.62435913,0
332,68.62631226,0
333,68.64470673,0
334,68.59689331,0
335,68.60697174,0
336,68.65052795,0
337,68.66445923,0
338,68.55085754,0
339,68.65783691,0
340,68.59506226,0
341,68.62034607,0
342,68.61696625,0
343,68.64517212,0
344,68.6439743,0
345,68.62376404,0
346,68.64414978,0
347,68.60894775,0
348,68.63085938,0
349,68.59505463,0
350,68.60361481,0
351,68.59274292,0
352,68.57111359,0
353,68.63749695,0
354,68.58092499,0
355,68.59981537,0
356,68.64482117,0
357,68.64526367,0
358,68.60895538,0
359,68.61396027,0
360,68.6440506,0
361,68.66499329,0
362,68.69068909,0
363,68.65340424,0
364,68.69301605,0
365,68.66835022,0
366,68.71736145,0
367,68.69062042,0
368,68.66815186,0
369,68.6499939,0
370,68.7286911,0
371,68.65353394,0
372,68.68018341,0
373,68.64574432,0
374,68.72907257,0
375,68.65557861,0
376,68.6550293,0
377,68.67990112,0
378,68.66792297,0
379,68.66888428,0
380,68.67849731,0
381,68.67733002,0
382,68.63993073,0
383,68.74150848,0
384,68.66718292,0
385,68.76106262,0
386,68.70314789,0
387,68.67298126,0
388,68.73943329,0
389,68.67702484,0
390,68.67797089,0
391,68.71404266,0
392,68.71391296,0
393,68.70848083,0
394,68.72280884,0
395,68.67504883,0
396,68.67086792,0
397,69.383968586,1
398,69.75780166285,1
399,70.05106338239999,1
400,70.42853889124999,1
401,70.73228271419998,1
402,68.67093658,0
403,68.65007019,0
404,68.68131256,0
405,68.76873016,0
406,68.67055511,0
407,68.73988342,0
408,68.72620392,0
409,68.70040894,0
410,68.65638733,0
411,68.67169952,0
412,68.68065643,0
413,68.67404938,0
414,68.65509796,0
415,68.70321655,0
416,68.70721436,0
417,68.66919708,0
418,68.67796326,0
419,68.72016907,0
420,68.65536499,0
421,68.67906189,0
422,68.64146423,0
423,68.67205048,0
424,68.67784119,0
425,68.65460968,0
