,water_temperature,spike
143,142.1180725,0.0
144,142.1931305,0.0
145,142.1698761,0.0
146,142.2985687,0.0
147,142.2417603,0.0
148,142.2164917,0.0
149,142.1594543,0.0
150,142.2361603,0.0
151,142.263031,0.0
152,142.3957825,0.0
153,142.4223938,0.0
154,142.4756012,0.0
155,142.3672028,0.0
156,142.3783417,0.0
157,142.2723999,0.0
158,142.208725,0.0
159,142.0550079,0.0
160,141.9406281,0.0
161,141.9495544,0.0
162,142.0838013,0.0
163,142.1382141,0.0
164,142.2941132,0.0
165,142.2324219,0.0
166,142.2906494,0.0
167,142.2317505,0.0
168,142.1457367,0.0
169,142.1504364,0.0
170,142.1478882,0.0
171,142.1963196,0.0
172,142.2977448,0.0
173,142.1981812,0.0
174,142.3664856,0.0
175,142.4283142,0.0
176,142.3851624,0.0
177,142.3170166,0.0
178,142.282135,0.0
179,142.3119659,0.0
180,142.1623535,0.0
181,142.1370544,0.0
182,142.0522308,0.0
183,141.9782104,0.0
184,142.1638031,0.0
185,142.3109436,0.0
186,142.2729187,0.0
187,142.2070465,0.0
188,142.2423553,0.0
189,142.3010864,0.0
190,142.3340607,0.0
191,142.217392,0.0
192,142.2452393,0.0
193,142.1654816,0.0
194,142.2442017,0.0
195,142.2329712,0.0
196,142.3205719,0.0
197,142.4495544,0.0
198,142.3766937,0.0
199,142.2721558,0.0
200,142.3333435,0.0
201,142.1765747,0.0
202,142.066452,0.0
203,141.9921875,0.0
204,142.2006836,0.0
205,142.1464539,0.0
206,142.0559998,0.0
207,144.883641312,1.0
208,142.0427856,0.0
209,142.0747375,0.0
210,142.0513916,0.0
211,141.9835968,0.0
212,141.9316559,0.0
213,141.9603271,0.0
214,142.0641937,0.0
215,142.0300293,0.0
216,142.0554657,0.0
217,142.0892334,0.0
218,142.2134399,0.0
219,145.040526084,1.0
220,142.1965942,0.0
221,142.1650543,0.0
222,143.652496041,1.0
223,142.2301941,0.0
224,142.1986237,0.0
225,142.2825165,0.0
226,142.2483673,0.0
227,142.2854004,0.0
228,142.2192078,0.0
229,142.2932129,0.0
230,142.2042389,0.0
231,142.2388,0.0
232,142.1534729,0.0
233,142.1206207,0.0
234,142.0845642,0.0
235,142.1132507,0.0
236,142.180069,0.0
237,142.1623535,0.0
238,142.1654968,0.0
239,142.3299255,0.0
240,142.3042755,0.0
241,142.1173248,0.0
242,142.0192108,0.0
243,142.1040802,0.0
244,142.2019806,0.0
245,142.3235779,0.0
246,142.2698212,0.0
247,142.2145691,0.0
248,142.2653198,0.0
249,142.2816315,0.0
250,142.2732697,0.0
251,145.095093432,1.0
252,142.2500916,0.0
253,142.1964874,0.0
254,142.1811676,0.0
255,142.1846008,0.0
256,142.2963715,0.0
257,142.2743073,0.0
258,142.2325287,0.0
259,142.0983276,0.0
260,142.1035156,0.0
261,142.282486,0.0
262,142.2997437,0.0
263,142.1638947,0.0
264,142.115921,0.0
265,142.0057831,0.0
266,142.1269836,0.0
267,142.2795715,0.0
268,142.3686829,0.0
269,142.1487122,0.0
270,142.1342621,0.0
271,146.315337986,1.0
272,142.0537262,0.0
273,142.0378113,0.0
274,141.9910126,0.0
275,142.1471863,0.0
276,142.0933075,0.0
277,142.089447,0.0
278,142.15065,0.0
279,142.2511597,0.0
280,142.2949066,0.0
281,142.2822113,0.0
282,142.3274536,0.0
283,142.2204437,0.0
284,142.3258514,0.0
285,142.3317413,0.0
286,142.3774719,0.0
287,142.2492523,0.0
288,142.2733917,0.0
289,142.2596588,0.0
290,142.285614,0.0
291,142.2577667,0.0
292,142.2010345,0.0
293,142.0978851,0.0
294,142.0444641,0.0
295,142.0198059,0.0
296,142.0506897,0.0
297,142.2336884,0.0
298,142.2474365,0.0
299,142.3641357,0.0
300,142.221283,0.0
301,142.2842712,0.0
302,142.2676697,0.0
303,142.1326141,0.0
304,142.166748,0.0
305,142.0892487,0.0
306,146.31551082000001,1.0
307,142.053894,0.0
308,141.9901581,0.0
309,142.1290894,0.0
310,142.2153473,0.0
311,142.4063568,0.0
312,142.3998718,0.0
313,142.3676758,0.0
314,142.3712463,0.0
315,142.3113098,0.0
316,142.1442108,0.0
317,142.0801239,0.0
318,142.0532379,0.0
319,142.0187988,0.0
320,142.1516113,0.0
321,146.540241885,1.0
322,142.2720795,0.0
323,142.2731018,0.0
324,142.292572,0.0
325,142.2059937,0.0
326,142.1464996,0.0
327,142.1628723,0.0
328,142.1151123,0.0
329,142.1091309,0.0
330,142.145874,0.0
331,142.2613068,0.0
332,142.2650146,0.0
333,142.2857361,0.0
334,142.2782898,0.0
335,142.3358154,0.0
336,142.3783875,0.0
337,142.3867798,0.0
338,142.3513184,0.0
339,143.71907322099997,1.0
340,142.2961121,0.0
341,142.2746429,0.0
342,142.0980682,0.0
343,142.0623779,0.0
344,142.019104,0.0
345,142.0621948,0.0
346,142.095871,0.0
347,142.1768799,0.0
348,142.2090607,0.0
349,142.2991028,0.0
350,142.2490082,0.0
351,142.3444519,0.0
352,142.214386,0.0
353,142.2238007,0.0
354,142.1636353,0.0
355,142.0496521,0.0
356,141.9886169,0.0
357,141.9829865,0.0
358,141.9520874,0.0
359,141.9973755,0.0
360,141.9866333,0.0
361,142.0771484,0.0
362,142.1644287,0.0
363,142.324646,0.0
364,142.342041,0.0
365,142.3202515,0.0
366,142.2635803,0.0
367,142.2947235,0.0
368,142.1733856,0.0
369,142.1118469,0.0
370,141.9765015,0.0
371,141.9009705,0.0
372,141.9640656,0.0
373,142.0636292,0.0
374,142.1272888,0.0
375,144.994363434,1.0
376,143.572850067,1.0
377,142.1513367,0.0
378,142.11026,0.0
379,142.0601501,0.0
380,141.9888458,0.0
381,141.8363647,0.0
382,141.7440338,0.0
383,141.7145996,0.0
384,141.8412933,0.0
385,142.0075684,0.0
386,142.2935028,0.0
387,142.3858032,0.0
388,142.3532562,0.0
389,142.1401367,0.0
390,142.1705017,0.0
391,142.2533264,0.0
392,145.090984464,1.0
393,146.513445096,1.0
394,143.668523832,1.0
395,142.2460632,0.0
396,142.1848297,0.0
397,142.1407318,0.0
398,142.1647491,0.0
399,142.2037659,0.0
400,142.20755,0.0
401,142.1537628,0.0
402,142.2081146,0.0
403,142.2331085,0.0
404,142.2545471,0.0
405,142.223175,0.0
406,142.2658386,0.0
407,142.2695465,0.0
408,142.4315948,0.0
409,142.4170532,0.0
410,142.2953491,0.0
411,142.1306458,0.0
412,142.125,0.0
413,142.1429138,0.0
414,142.337326,0.0
415,142.25,0.0
416,145.019748276,1.0
417,142.1762238,0.0
418,142.0888672,0.0
419,142.0651093,0.0
420,142.0374908,0.0
421,142.2328339,0.0
422,142.3421936,0.0
423,142.2826691,0.0
424,142.3171082,0.0
425,142.2864838,0.0
426,142.3856964,0.0
427,142.3516541,0.0
428,142.3851166,0.0
429,142.5135651,0.0
430,142.4354248,0.0
431,142.230545,0.0
432,142.1354523,0.0
433,143.56423507,1.0
434,142.142807,0.0
435,142.1798401,0.0
436,142.2244873,0.0
437,142.1723633,0.0
438,142.2195282,0.0
439,142.1470642,0.0
440,142.3590546,0.0
441,142.3345184,0.0
442,142.2799988,0.0
443,142.3067627,0.0
444,142.3806763,0.0
445,142.3798828,0.0
446,143.836107173,1.0
447,142.4119873,0.0
448,142.3740082,0.0
449,142.3490295,0.0
450,142.3062134,0.0
451,142.2502594,0.0
452,142.1890259,0.0
453,142.1956787,0.0
454,142.1777954,0.0
455,142.1484222,0.0
456,142.1404419,0.0
457,142.1351166,0.0
458,142.2428284,0.0
459,142.3313904,0.0
460,142.3085327,0.0
461,142.3314819,0.0
462,142.2065125,0.0
463,142.3509979,0.0
464,142.2865295,0.0
465,142.2848358,0.0
466,142.1418915,0.0
467,142.1081848,0.0
468,142.0359497,0.0
469,141.9325867,0.0
470,141.8275452,0.0
471,141.9864197,0.0
472,141.9886932,0.0
473,142.0057983,0.0
474,142.0028839,0.0
475,142.2250671,0.0
476,142.324173,0.0
477,142.3148651,0.0
478,142.3971558,0.0
479,142.2577515,0.0
480,142.2976379,0.0
481,142.2045288,0.0
482,142.1028595,0.0
483,141.9661713,0.0
484,141.879303,0.0
485,141.873703,0.0
486,141.864502,0.0
487,141.8596954,0.0
488,142.0709534,0.0
489,142.1457367,0.0
490,142.2096252,0.0
491,142.107605,0.0
492,142.0794983,0.0
493,142.0204163,0.0
494,141.8826904,0.0
495,141.927887,0.0
496,141.8937836,0.0
497,141.9780426,0.0
498,142.0948944,0.0
499,142.1086578,0.0
500,142.1436157,0.0
501,142.1919556,0.0
502,142.1823883,0.0
503,142.1806335,0.0
504,142.1759033,0.0
505,142.0046387,0.0
506,142.02948,0.0
507,142.0657349,0.0
508,142.0510101,0.0
509,141.9625397,0.0
510,142.0197601,0.0
511,141.973877,0.0
512,142.0346832,0.0
