,water_flow,spike
129,54.65310669,0
130,73.27461765467287,1
131,53.07593536,0
132,54.16508865,0
133,54.86301804,0
134,73.2796341310414,1
135,73.28106485562057,1
136,54.56744385,0
137,54.88718796,0
138,54.84480667,0
139,55.39406586,0
140,54.5132637,0
141,52.65420151,0
142,53.98083496,0
143,53.93887711,0
144,73.27779098794457,1
145,54.25762177,0
146,54.01978683,0
147,54.85451889,0
148,54.74259567,0
149,54.82891083,0
150,54.57698441,0
151,52.01057053,0
152,53.73023605,0
153,54.21441269,0
154,53.75595474,0
155,54.09702682,0
156,54.44699097,0
157,73.28568211828473,1
158,55.01395798,0
159,54.8678627,0
160,54.1191864,0
161,52.78435898,0
162,53.82535172,0
163,73.29126911419434,1
164,54.4536972,0
165,54.1136322,0
166,54.31582642,0
167,53.8037796,0
168,73.30018825856179,1
169,73.30200733966029,1
170,54.68511581,0
171,73.30425630496367,1
172,54.50814056,0
173,54.51602554,0
174,52.59354782,0
175,54.70857239,0
176,54.25172043,0
177,54.43038177,0
178,54.07103729,0
179,73.30925114225224,1
180,54.41814423,0
181,54.98223877,0
182,73.30538221847054,1
183,54.42881393,0
184,73.30246415298454,1
185,53.92350769,0
186,52.70568466,0
187,53.94978714,0
188,54.13663864,0
189,73.31767153962608,1
190,54.19262695,0
191,54.37580872,0
192,73.32077157421969,1
193,52.24114609,0
194,53.97192383,0
195,53.87345123,0
196,51.79929733,0
197,54.07598114,0
198,54.12495041,0
199,53.85198593,0
200,54.08827972,0
201,53.85541534,0
202,54.5028801,0
203,53.80614853,0
204,51.94245911,0
205,54.30149078,0
206,52.68870163,0
207,73.34336111831438,1
208,73.3434231104395,1
209,52.31034851,0
210,54.33950806,0
211,73.34654419497171,1
212,52.10493851,0
213,54.29275894,0
214,73.35432806620432,1
215,51.9250946,0
216,73.3554966362799,1
217,54.0650444,0
218,73.35624256656708,1
219,53.43484497,0
220,53.85049438,0
221,54.29802322,0
222,51.98293686,0
223,54.0822525,0
224,53.92160416,0
225,53.42343521,0
226,53.82868576,0
227,54.30296326,0
228,54.16114807,0
229,54.05125809,0
230,52.6820755,0
231,53.10206985,0
232,53.87388229,0
233,53.973423,0
234,53.76285934,0
235,53.87105179,0
236,52.42887497,0
237,73.38462973061324,1
238,53.61520386,0
239,53.65824509,0
240,53.11957169,0
241,52.38098526,0
242,73.39567374584976,1
243,53.77764511,0
244,53.24663162,0
245,53.60453033,0
246,53.19831848,0
247,52.57284164,0
248,53.78482819,0
249,53.98911285,0
250,53.45626831,0
