,steam_temperature,spike
219,433.1844177,0.0
220,446.551961099,1.0
221,433.5455933,0.0
222,433.7324524,0.0
223,437.768176279,1.0
224,437.768176279,1.0
225,433.4338379,0.0
226,433.8331299,0.0
227,434.4496765,0.0
228,434.5385437,0.0
229,434.3601379,0.0
230,434.0976868,0.0
231,433.5968323,0.0
232,433.4648743,0.0
233,433.3873291,0.0
234,433.0815125,0.0
235,433.0559998,0.0
236,433.2676392,0.0
237,433.4416504,0.0
238,433.6158447,0.0
239,433.8076172,0.0
240,434.1878357,0.0
241,434.0429993,0.0
242,433.5415649,0.0
243,433.1125183,0.0
244,433.3833008,0.0
245,433.5092163,0.0
246,433.5339661,0.0
247,433.2356567,0.0
248,433.5470581,0.0
249,433.5800171,0.0
250,433.2729492,0.0
251,433.0176086,0.0
252,433.0593872,0.0
253,432.8489685,0.0
254,433.2174377,0.0
255,433.3854675,0.0
256,432.9178467,0.0
257,432.0262146,0.0
258,431.355896,0.0
259,431.4049377,0.0
260,430.9680481,0.0
261,430.7491455,0.0
262,430.4295044,0.0
263,430.1870117,0.0
264,430.4999695,0.0
265,430.6897583,0.0
266,430.8879395,0.0
267,430.8452454,0.0
268,430.756958,0.0
269,431.0211487,0.0
270,431.2759094,0.0
271,431.5194702,0.0
272,432.0270996,0.0
273,432.2501221,0.0
274,432.5451355,0.0
275,432.7234802,0.0
276,432.5586243,0.0
277,432.5296936,0.0
278,432.2843933,0.0
279,432.3387451,0.0
280,432.2096558,0.0
281,432.1404114,0.0
282,432.1943054,0.0
283,432.4551697,0.0
284,445.585613142,1.0
285,432.6073914,0.0
286,432.3278809,0.0
287,431.8049927,0.0
288,431.8016968,0.0
289,440.327662332,1.0
290,431.6937866,0.0
291,431.6435242,0.0
292,431.7449036,0.0
293,432.12323,0.0
294,432.5506897,0.0
295,432.3270569,0.0
296,432.1352844,0.0
297,432.0300293,0.0
298,432.3840027,0.0
299,432.4971313,0.0
300,431.9079895,0.0
301,431.6679993,0.0
302,444.37801600999995,1.0
303,444.37801600999995,1.0
304,431.434967,0.0
305,431.0151672,0.0
306,430.6221008,0.0
307,431.0513306,0.0
308,431.1917725,0.0
309,431.3506775,0.0
310,431.5645447,0.0
311,432.0735168,0.0
312,432.55896,0.0
313,432.2182007,0.0
314,431.8412781,0.0
315,431.2897034,0.0
316,431.5039063,0.0
317,431.8974304,0.0
318,432.2538452,0.0
319,432.4342957,0.0
320,432.7309265,0.0
321,432.7161865,0.0
322,432.3117371,0.0
323,431.807251,0.0
324,431.0955505,0.0
325,430.2917786,0.0
326,430.1967468,0.0
327,430.4986267,0.0
328,431.0696716,0.0
329,431.2068787,0.0
330,431.1407471,0.0
331,430.8998413,0.0
332,430.9954224,0.0
333,430.5054016,0.0
334,430.5553284,0.0
335,430.5592651,0.0
336,430.6488037,0.0
337,430.3639832,0.0
338,430.23349,0.0
339,430.2510071,0.0
340,430.3171692,0.0
341,430.7047424,0.0
342,430.7689514,0.0
343,430.6970215,0.0
344,430.7345276,0.0
345,430.9525452,0.0
346,431.095459,0.0
347,431.1098328,0.0
348,431.2028198,0.0
349,431.4026489,0.0
350,431.0756226,0.0
351,430.8931274,0.0
352,430.9847412,0.0
353,431.0218506,0.0
354,431.4731445,0.0
355,432.0508423,0.0
356,431.6868896,0.0
357,431.4240112,0.0
358,431.0774231,0.0
359,431.1299133,0.0
360,431.4704285,0.0
361,431.7941589,0.0
362,432.1639404,0.0
363,432.0257568,0.0
364,431.5605469,0.0
365,431.363678,0.0
366,430.9342957,0.0
367,430.5492554,0.0
368,430.4997559,0.0
369,439.276129746,1.0
370,430.6628723,0.0
371,430.8497925,0.0
372,431.3511658,0.0
373,431.4914246,0.0
374,430.769928,0.0
375,430.4069824,0.0
376,430.4894714,0.0
377,430.4864502,0.0
378,430.3978271,0.0
379,430.6662292,0.0
380,430.9532471,0.0
381,431.360199,0.0
382,431.4240723,0.0
383,431.0077209,0.0
384,430.7200623,0.0
385,430.7519531,0.0
386,431.2796021,0.0
387,431.7028198,0.0
388,431.8440857,0.0
389,432.2241211,0.0
390,432.2016296,0.0
391,431.9569702,0.0
392,431.493103,0.0
393,431.0614014,0.0
394,431.4066772,0.0
395,444.57472438,1.0
396,431.625946,0.0
397,431.8797607,0.0
398,432.1351624,0.0
399,440.465434548,1.0
400,440.465434548,1.0
401,440.465434548,1.0
402,431.8288574,0.0
403,431.712677,0.0
404,431.7490234,0.0
405,431.6099243,0.0
406,431.5442505,0.0
407,431.7388,0.0
408,431.5335693,0.0
409,431.5103149,0.0
410,431.4651184,0.0
411,431.8489075,0.0
412,432.0411682,0.0
413,432.0524292,0.0
414,432.1171875,0.0
415,431.9914551,0.0
416,431.6517334,0.0
417,432.0524597,0.0
418,431.9378052,0.0
419,431.7965393,0.0
420,431.6385498,0.0
421,431.9911499,0.0
422,431.8520813,0.0
423,431.6960144,0.0
424,431.6021729,0.0
425,431.7888794,0.0
426,432.3269958,0.0
427,432.5708313,0.0
