,steam_flow,spike
709,58.22849655,0
710,57.90736389,0
711,57.81881714,0
712,58.08469772,0
713,58.12325287,0
714,58.25806046,0
715,58.33169937,0
716,78.9658538976212,1
717,57.99761581,0
718,58.22304535,0
719,58.49780273,0
720,58.39616394,0
721,58.01492691,0
722,58.18941116,0
723,84.22081546631415,1
724,85.79513657942748,1
725,58.2836647,0
726,58.10998535,0
727,58.27408981,0
728,57.88970184,0
729,57.53461838,0
730,58.29257965,0
731,87.91002939041823,1
732,58.34590149,0
733,58.36339188,0
734,58.13269043,0
735,58.08050156,0
736,58.31179428,0
737,58.43350601,0
738,58.5112915,0
739,59.00431061,0
740,58.53562164,0
741,58.61975098,0
742,87.90181098262806,1
743,58.15346909,0
744,58.67539597,0
745,58.55147934,0
746,58.72131348,0
747,58.62651062,0
748,58.3615303,0
749,58.44888306,0
750,58.09810638,0
751,57.68579865,0
752,57.97661591,0
753,58.40184402,0
754,57.89435959,0
755,58.10623932,0
756,58.29816818,0
757,57.77359772,0
758,90.06310382878,1
759,58.05281448,0
760,57.68957138,0
761,90.07047750097945,1
762,58.33259964,0
763,58.87379837,0
764,58.38917542,0
765,58.49290466,0
766,58.49444199,0
767,57.98936844,0
768,57.92214203,0
769,58.30773544,0
770,57.6207962,0
771,58.20602798,0
772,90.07108886456632,1
773,57.85273361,0
774,58.05902863,0
775,58.38497925,0
776,90.07008291575086,1
777,58.15655136,0
778,58.25123978,0
779,59.08190918,0
780,59.64253616,0
781,90.78408077458242,1
782,58.48867416,0
783,59.18278885,0
784,59.41199875,0
785,58.95097351,0
786,59.20147705,0
787,59.09756088,0
788,95.50385361632507,1
789,59.46490479,0
790,59.20349884,0
791,59.05974579,0
792,95.5231934526295,1
793,59.85682678,0
794,59.46739578,0
795,59.68152618,0
796,59.56478119,0
797,59.28610229,0
798,60.40773392,0
799,95.54525543290598,1
800,60.65406418,0
801,95.54954872353436,1
802,61.28627014,0
803,60.55410385,0
804,61.40732956,0
805,61.49259186,0
806,61.88458633,0
807,61.766716,0
808,61.77848816,0
809,95.56991200165888,1
810,61.33477402,0
811,61.94935608,0
812,61.75177765,0
813,95.57791885608162,1
814,61.74673843,0
815,95.5809729595477,1
816,61.83158875,0
817,61.08436203,0
818,61.82827759,0
819,61.39312363,0
820,61.69545746,0
821,61.46452713,0
822,61.99872971,0
823,62.61495972,0
824,62.16355515,0
825,62.75492477,0
826,62.34168243,0
827,62.11462402,0
828,63.11771774,0
829,61.94900513,0
830,61.20671082,0
831,62.57943344,0
832,62.21450424,0
833,61.74178696,0
834,62.02654266,0
835,62.49261093,0
836,61.88156128,0
837,62.57339478,0
838,95.58523485796691,1
839,61.77507782,0
840,62.3655777,0
841,62.79485321,0
842,62.04258347,0
843,95.5773761496182,1
844,62.16997528,0
845,95.57336373016575,1
846,61.77868271,0
847,62.26954651,0
848,61.21942902,0
849,61.83705902,0
850,61.71641541,0
851,61.27449799,0
852,60.74455643,0
853,61.47959518,0
854,62.95766449,0
855,61.91249084,0
856,95.54778112845884,1
857,61.92715073,0
858,62.67912674,0
859,62.69638824,0
860,62.20911026,0
861,61.77270126,0
862,61.43296814,0
863,61.56016541,0
864,62.39342499,0
