,water_pressure,spike
670,96.97993469,0
671,96.87236786,0
672,96.77455139,0
673,96.67378998,0
674,96.82683563,0
675,99.84566012062491,1
676,96.7275238,0
677,97.03548431,0
678,96.9493103,0
679,97.06340027,0
680,96.84390259,0
681,99.84464241159091,1
682,96.94647217,0
683,96.74766541,0
684,96.94661713,0
685,97.02836609,0
686,96.77404022,0
687,99.8434421045554,1
688,96.66849518,0
689,97.10270691,0
690,96.73656464,0
691,97.26316833,0
692,96.88140869,0
693,99.84194762511524,1
694,96.89836121,0
695,97.16944122,0
696,99.8411547364472,1
697,97.00241089,0
698,96.86368561,0
699,96.94869995,0
700,99.83980701973269,1
701,96.98779297,0
702,97.10435486,0
703,99.83880208128751,1
704,96.91792297,0
705,99.83817364353665,1
706,99.83783637760428,1
707,96.98642731,0
708,97.34754181,0
709,96.7900238,0
710,96.74340057,0
711,99.83607627272137,1
712,96.73222351,0
713,97.14617157,0
714,97.02584839,0
715,96.87606812,0
716,96.98256683,0
717,96.78198242,0
718,96.99137878,0
719,96.91915131,0
720,96.76531219,0
721,96.96114349,0
722,97.10354614,0
723,97.16983795,0
724,97.0345993,0
725,99.83066066818203,1
726,97.04225922,0
727,97.05137634,0
728,96.99301147,0
729,96.81415558,0
730,96.93936157,0
731,96.7660141,0
732,100.90554548672017,1
733,96.71630859,0
734,96.84028625,0
735,97.11134338,0
736,96.69794464,0
737,96.94692993,0
738,100.90726163615439,1
739,96.83598328,0
740,96.75219727,0
741,100.90802064483665,1
742,96.77868652,0
743,100.90846818298571,1
744,96.74243927,0
745,96.71527863,0
746,97.04697418,0
747,97.13606262,0
748,96.83010101,0
749,100.90946955025987,1
750,100.90956042463729,1
751,96.98786926,0
752,96.62948608,0
753,97.04893494,0
754,96.72301483,0
755,100.91036082699095,1
756,97.29543304,0
757,96.82090759,0
758,96.84801483,0
759,97.08934784,0
760,96.89447021,0
761,96.83927917,0
762,96.69594574,0
763,100.91131282127947,1
764,96.88589478,0
765,96.75468445,0
766,96.84492493,0
767,96.83383942,0
768,96.94690704,0
769,96.96570587,0
770,96.74673462,0
771,96.73291016,0
772,100.91185713929788,1
773,96.92605591,0
774,97.09380341,0
775,96.76119232,0
776,100.91194679192051,1
777,96.99256134,0
778,97.34420776,0
779,100.91195493769523,1
780,96.96394348,0
781,96.77212524,0
782,96.72366333,0
783,97.38020325,0
784,96.86229706,0
785,97.09803772,0
786,97.40391541,0
787,96.96604919,0
788,97.45714569,0
789,96.99276733,0
790,97.01433563,0
791,97.16153717,0
792,96.7309494,0
793,97.04637146,0
794,96.82100677,0
795,96.87805176,0
796,97.15511322,0
797,100.91095773163228,1
798,97.08574677,0
799,96.81282806,0
800,96.74768829,0
801,96.78067017,0
802,96.36207581,0
803,100.91005598999025,1
804,100.90974370563764,1
805,96.3622818,0
806,96.42678833,0
807,100.90880786028964,1
808,96.42755127,0
809,96.19777679,0
810,96.0686264,0
811,96.05490875,0
812,96.4026947,0
813,96.34677887,0
814,96.54159546,0
