,steam_temperature,drift
131,432.319458,0
132,432.3927002,0
133,432.0437622,0
134,431.6644592,0
135,431.728363,0
136,431.7069092,0
137,431.4570007,0
138,431.9692993,0
139,432.7808838,0
140,433.3929443,0
141,433.671875,0
142,433.355011,0
143,433.2716675,0
144,432.795105,0
145,432.3627625,0
146,432.6398621,0
147,432.8468018,0
148,433.3530579,0
149,433.7403259,0
150,434.265625,0
151,434.0359497,0
152,433.3432312,0
153,433.1214294,0
154,433.3581848,0
155,433.5823364,0
156,433.7450867,0
157,433.9981384,0
158,434.0626526,0
159,433.7555542,0
160,434.0268555,0
161,434.0375671,0
162,433.3963013,0
163,433.1885986,0
164,433.4107361,0
165,433.3710632,0
166,433.4571838,0
167,433.6429443,0
168,433.8356628,0
169,433.9714661,0
170,434.199646,0
171,434.3308105,0
172,434.2766113,0
173,434.235321,0
174,434.076355,0
175,433.6490784,0
176,433.1460571,0
177,433.064209,0
178,433.1724854,0
179,433.2822571,0
180,433.502655,0
181,433.836731,0
182,433.9258423,0
183,434.3795166,0
184,434.6124573,0
185,434.2029419,0
186,433.7957153,0
187,433.0943298,0
188,432.8314819,0
189,432.550415,0
190,432.1159668,0
191,432.0599365,0
192,432.2774048,0
193,432.7649841,0
194,433.0275269,0
195,433.2301025,0
196,432.9999695,0
197,432.9500732,0
198,432.9552002,0
199,433.0028076,0
200,433.3405151,0
201,433.8870544,0
202,436.06894182299993,1
203,438.0418206289999,1
204,440.02024889899985,1
205,442.0988415359998,1
206,444.15472794499976,1
207,433.1796265,0
208,433.1844177,0
209,433.5455933,0
210,433.7324524,0
211,433.4338379,0
212,433.8331299,0
213,434.4496765,0
214,434.5385437,0
215,434.3601379,0
216,434.0976868,0
217,433.5968323,0
218,433.4648743,0
219,433.3873291,0
220,433.0815125,0
221,433.0559998,0
222,433.2676392,0
223,433.4416504,0
224,433.6158447,0
225,433.8076172,0
226,434.1878357,0
227,434.0429993,0
228,433.5415649,0
229,433.1125183,0
230,433.3833008,0
231,433.5092163,0
232,433.5339661,0
233,433.2356567,0
234,433.5470581,0
235,433.5800171,0
236,433.2729492,0
237,433.0176086,0
238,433.0593872,0
239,432.8489685,0
240,433.2174377,0
241,433.3854675,0
242,432.9178467,0
243,432.0262146,0
244,431.355896,0
245,431.4049377,0
246,430.9680481,0
247,430.7491455,0
248,430.4295044,0
249,430.1870117,0
250,430.4999695,0
251,430.6897583,0
252,430.8879395,0
253,430.8452454,0
254,430.756958,0
255,431.0211487,0
256,431.2759094,0
257,431.5194702,0
258,432.0270996,0
259,432.2501221,0
260,432.5451355,0
261,432.7234802,0
262,432.5586243,0
263,432.5296936,0
264,432.2843933,0
265,432.3387451,0
266,432.2096558,0
267,432.1404114,0
268,432.1943054,0
269,432.4551697,0
270,432.6073914,0
271,432.3278809,0
272,431.8049927,0
273,431.8016968,0
274,431.6937866,0
275,431.6435242,0
276,431.7449036,0
277,432.12323,0
278,432.5506897,0
279,432.3270569,0
280,432.1352844,0
281,432.0300293,0
282,432.3840027,0
283,432.4971313,0
284,431.9079895,0
285,431.6679993,0
286,431.434967,0
287,431.0151672,0
288,430.6221008,0
289,431.0513306,0
290,431.1917725,0
291,431.3506775,0
292,431.5645447,0
293,432.0735168,0
294,432.55896,0
295,432.2182007,0
296,431.8412781,0
297,431.2897034,0
298,431.5039063,0
299,431.8974304,0
300,432.2538452,0
301,434.59646717849995,1
302,437.0582357649999,1
303,439.20692929749987,1
304,440.95797184199984,1
305,442.6024322749998,1
306,431.0955505,0
307,430.2917786,0
308,430.1967468,0
309,430.4986267,0
310,431.0696716,0
311,431.2068787,0
312,431.1407471,0
313,430.8998413,0
314,430.9954224,0
315,430.5054016,0
316,430.5553284,0
317,430.5592651,0
318,430.6488037,0
319,430.3639832,0
320,430.23349,0
321,430.2510071,0
322,430.3171692,0
323,430.7047424,0
324,430.7689514,0
325,430.6970215,0
326,430.7345276,0
327,430.9525452,0
328,431.095459,0
329,431.1098328,0
330,431.2028198,0
331,431.4026489,0
332,431.0756226,0
333,430.8931274,0
334,430.9847412,0
335,431.0218506,0
336,431.4731445,0
337,432.0508423,0
338,431.6868896,0
339,431.4240112,0
340,431.0774231,0
341,431.1299133,0
342,431.4704285,0
343,431.7941589,0
344,432.1639404,0
345,432.0257568,0
346,431.5605469,0
347,431.363678,0
348,430.9342957,0
349,430.5492554,0
350,430.4997559,0
351,430.6628723,0
352,430.8497925,0
353,431.3511658,0
354,431.4914246,0
355,430.769928,0
356,430.4069824,0
357,430.4894714,0
358,430.4864502,0
359,430.3978271,0
360,430.6662292,0
361,430.9532471,0
362,431.360199,0
363,431.4240723,0
364,431.0077209,0
365,430.7200623,0
366,432.90571286549994,1
367,435.59239812099986,1
368,438.1783620969998,1
369,440.4809674139998,1
370,443.0297241274998,1
371,432.2016296,0
372,431.9569702,0
373,431.493103,0
374,431.0614014,0
375,431.4066772,0
376,431.625946,0
377,431.8797607,0
378,432.1351624,0
379,431.8288574,0
380,431.712677,0
381,431.7490234,0
382,431.6099243,0
383,431.5442505,0
384,431.7388,0
385,431.5335693,0
386,431.5103149,0
387,431.4651184,0
388,431.8489075,0
389,432.0411682,0
390,432.0524292,0
391,432.1171875,0
392,431.9914551,0
393,431.6517334,0
394,432.0524597,0
395,431.9378052,0
396,431.7965393,0
397,431.6385498,0
398,431.9911499,0
399,431.8520813,0
400,431.6960144,0
401,431.6021729,0
402,431.7888794,0
403,432.3269958,0
404,432.5708313,0
405,432.4256592,0
406,432.464386,0
407,431.9657593,0
408,431.6240845,0
409,431.1880493,0
410,431.1667175,0
411,431.3437805,0
412,433.91285984699994,1
413,436.12874478399993,1
414,438.1283369084999,1
415,440.4513958799998,1
416,442.41062012999976,1
417,431.4544983,0
418,431.2469177,0
419,430.7398682,0
420,430.535553,0
421,430.6399536,0
422,431.1501465,0
423,431.3845825,0
424,431.7285156,0
425,431.9046631,0
426,432.1158447,0
427,432.6521606,0
428,432.8888855,0
429,432.489563,0
430,432.232605,0
431,431.7483215,0
432,431.5290833,0
433,431.7453308,0
434,432.3939209,0
435,432.8779602,0
